,,Diplomatic,,Editorial,
Task,Model,AUC/10,@10th,AUC/10,@10th
OCR,Calamari,$18.24$,$17.59$,$23.40$,$23.44$
OCR,Kraken,$7.68$,$7.39$,$12.30$,$12.71$
OCR,TrOCR-Large,$13.04$,$11.12$,$16.88$,$15.87$
OCR,TrOCR-Small,$19.11$,$13.43$,$22.01$,$18.41$
OMR,Calamari,$77.51$,$85.40$,$80.68$,$87.12$
OMR,Kraken,$77.41$,$86.53$,$76.43$,$85.11$
OMR,TrOCR-Large,$72.34$,$74.69$,$76.51$,$77.87$
OMR,TrOCR-Small,$76.66$,$79.00$,$78.28$,$79.58$
