,,Diplomatic,,Editorial,
Task,Model,AUC/10,@10th,AUC/10,@10th
OCR,Calamari (pretrained),$13.85$,$14.18$,-,-
OCR,Kraken (pretrained),$6.53$,$6.82$,-,-
OCR,TrOCR-Large (pretrained),$8.70$,$8.54$,-,-
OMR,Calamari (pretrained),$75.75$,$80.88$,-,-
OMR,Kraken (pretrained),$77.20$,$85.72$,-,-
OMR,TrOCR-Large (pretrained),$66.30$,$67.94$,-,-
