,,Diplomatic,,Editorial,
Task,Model,AUC/10,@10th,AUC/10,@10th
OCR,Calamari (pretrained),$18.00$,$18.38$,-,-
OCR,Kraken (pretrained),$7.72$,$8.11$,-,-
OCR,TrOCR-Large (pretrained),$9.27$,$9.82$,-,-
OMR,Calamari (pretrained),$75.92$,$85.99$,-,-
OMR,Kraken (pretrained),$76.41$,$85.02$,-,-
OMR,TrOCR-Large (pretrained),$25.33$,$22.69$,-,-
