,Diplomatic,,,Editorial,,
Model,mAP,mAP@0.5,F1@0.50,mAP,mAP@0.5,F1@0.50
DETR,$63.5 \pm 9.6$,$82.6 \pm 8.2$,$93.0 \pm 4.1$,$54.7 \pm 22.9$,$70.9 \pm 29.0$,$89.6 \pm 6.7$
Faster R-CNN (MobileNet),$67.7 \pm 0.3$,$92.2 \pm 2.6$,$88.7 \pm 6.4$,$68.4 \pm 4.7$,$92.9 \pm 3.1$,$90.0 \pm 7.0$
Faster R-CNN (ResNet-50),$71.4 \pm 1.6$,$92.2 \pm 3.6$,$98.4 \pm 0.4$,$71.5 \pm 4.7$,$92.7 \pm 3.2$,$98.4 \pm 0.6$
YOLOv8n,$81.2 \pm 3.1$,$97.4 \pm 1.8$,$98.1 \pm 0.8$,$81.2 \pm 3.1$,$97.4 \pm 1.8$,$98.1 \pm 0.8$
YOLOv8s,$81.4 \pm 2.8$,$98.0 \pm 1.6$,$98.0 \pm 0.7$,$81.4 \pm 2.8$,$98.0 \pm 1.6$,$98.0 \pm 0.7$
