,,Diplomatic,,Editorial,
Task,Model,AUC/10,@10th,AUC/10,@10th
OCR,Calamari,$21.88$,$21.18$,$24.83$,$24.25$
OCR,Kraken,$8.26$,$8.24$,$11.10$,$11.07$
OCR,TrOCR-Large,$11.43$,$10.55$,$14.15$,$12.98$
OCR,TrOCR-Small,$19.39$,$14.95$,$20.28$,$16.47$
OMR,Calamari,$78.13$,$86.64$,$76.73$,$82.61$
OMR,Kraken,$83.72$,$91.31$,$82.02$,$88.30$
OMR,TrOCR-Large,$76.92$,$87.51$,$78.59$,$91.36$
OMR,TrOCR-Small,$80.75$,$93.81$,$80.01$,$80.19$
